27756;16503;20202;24703;27915;24526;35762;2473;3366;14089;36406;24480;57760;19825;2717;39378
4709;45302;11377;18479;61058;10788;27003;56919;25693;27094;3696;38999;43730;45435;19931;55591
29312;48681;11734;59944;5623;21011;45375;26100;31054;18897;15406;15140;48469;64258;46720;14487
24556;15684;31887;30002;57330;37488;59304;2393;25345;53585;59032;18862;32190;49547;8492;22696
61306;33908;13497;37409;5230;4038;16610;24380;52452;48230;57596;36279;10925;51050;42712;59711
44996;58928;3189;21720;40828;13596;34169;55502;39868;64525;51745;52777;59473;45473;7720;28952
53361;33894;41200;58231;12499;13236;55725;32089;47275;44442;3786;9774;23805;28286;29574;48546
1838;27238;44197;27387;34020;52828;23819;2768;42917;41020;25647;56589;35279;12489;15704;62993
41906;51439;37829;56410;46131;18845;56979;62775;15788;12418;8795;8173;49908;31368;28999;17689
11484;32823;6720;18710;64272;65064;14749;3144;30398;43464;14374;26289;48873;1256;18465;41508
26043;1105;65076;39848;55541;53822;4998;29897;45326;2402;57136;12938;8225;23254;40002;7065
56032;58959;64933;2725;56744;22892;31124;7964;14584;62707;50137;59749;24751;25174;5521;5743
3058;3397;51254;37639;45553;1820;10958;38491;64112;41581;23156;55036;26647;11781;41801;6788
33986;44029;55348;32049;60713;38920;29118;26877;61609;1459;45806;17918;3129;54749;34507;48429
54848;48096;61820;62377;21311;39759;23255;29797;33314;6849;50479;37912;64844;30873;6009;57469
41454;3370;55432;54056;13342;7860;9667;43029;3621;54538;48532;7073;5683;14392;5809;59941
61379;53306;46114;53424;54579;53455;4635;21967;45001;34368;58939;28944;11513;48276;51806;14084
2063;60183;5812;56587;59789;31297;1292;24844;19948;1240;6448;51167;45890;32108;14514;13602
38784;33161;47968;9253;26907;28620;27846;7010;56350;47635;35977;49132;48615;10064;32034;58333
63317;51796;7295;42790;47570;671;32147;46776;25521;63919;11963;28369;12258;60247;10785;25794
